no,text
330, 행복기숙사인가 그 건물 언제짓습니까? 짓는다는 소문이 있었는데 사실인지요? 그리고 학교 운동장과 주차장좀 분리좀 시켜주십쇼 운동장이 우리학교 부지에서 90%를 차지하고있는데 너무 휑한 이미지를받고 보기가 너무 싫습니다. 이왕 축구부도 존재하는데 축구부가 축구할공간이 없어서 다른데로 한다는거자체가 너무 마음이 아픕니다.이 부분은 정말 고쳐야 한다고생각합니다.그리고개명은 정말 다시해야한다고 절실히 느낍니다. 다른 외부사람에게 kc대가 참 희한하게 들리고 10명중 9명은 kc라는 그 이름보단 서울 강서대나 지역이름이 더 좋다고 하는데 개명 다시 한번만  학생들을 위해서 생각을 해주십쇼
331,등산객등  많은사람이 출입하는데 밤에 학교가 어둡습니다  개선 부탁드리고 복수전공이 가능했으면 좋겠습니다  예를 들어 피아노과 공부를 하면서 기독실용을할수있었으면 합니다 부전공 악기로 플롯도  추가해추시면 고맙겠습니다
342,휴학신청 다른대학처럼 온라인으로 신청할수있도록 만들어주세요
344,학생들 의견 적극 반영 부탁드립니다!
350,"강의실에 냉/난방기가 없는 곳은 설치해 주세요!! 
셔틀 시간을 제발 좀 지켜 주세요!! (늦게오거나 출발 시간이 아직 아닌데 출발하는 경우가 많음)
본관 강의실 의자 책상을 분리형으로 바꿔주세요!!
강의실 청소 좀 해주세요!! 너무 더럽고 벽지도 다 떨어져 있음!!"
354,식당에서 누들에서 라면제공 할때 라면가격이 너무 비싸요 라면 팔때는 가격이 좀더 할인이 되었으면 좋겠어요
355,등록금을 비장애학생 장애학생들에게 아김없이 썼으면 합니다. 투명하게 써주십시오.
356,좋아요~
358,안내문자는 당일이 아닌 최소한 전날에 보내주셨으면 좋겠습니다. 또한 등록금이 학교시설이나 장학금과 같은 학생을 위한 곳에 쓰였으면 좋겠습니다. 간호학과의 경우 440이라는 큰 금액의 등록금을 내고 다니지만 재정지원이 어렵다는 이유로 주로 사용하는 과학관의 와이파이가 아직도 설치되지 않아 조별과제나 전자출결 등의 이용에 어려움을 겪는 경우가 종종 있습니다. 저희가 적지않은 돈을 내고 이 학교에 다니는 만큼 이 점이 빠르게 해결되면 좋겠습니다.
364,편의시설이랑 난방이정말...화장실좀 고쳐주세요.
365,취업선생님 전문성을 높여주시면 좋을 거 같아요. 졸업한 동문의 연락처를 취업선생님께서 취업센터에 올리셔서 난처했다고 전해들었습니다. 학생들의 개인정보를 소중히 생각해주셨으면 좋겠어요.
368,"김태수,구희완교수님께서 관련과목에대한 깊이있는지식없이수업을많이하십니다 개설과목에대한 합리적인 계획없이 수업을할수없도록 운영지침을만들어주셨으면합니다"
371,채플이나 대학 정체성 같은 것이 너무 아침 일찍 합니다.. 1학년 때 들어야 할 교양 강의가 너무 많아요. 
372,"교무처 전화시 내 학번과 이름이 공개되어 제대로 된 건의사항을 할수없고, 조교와 직원들이 불친절하게 답변을 준다.
학생처의 경우는 전화할 때마다 담당자가 없다. 담당자가 학생에게 일을 시키고 거의 근무하지 않는다고 한다."
374,학교가 좋은 방향으로 발전했으면 좋겠습니다.
380,딱히 없음
